Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Dark Knight,"$1,003,045,358","$533,345,358",53.2%,"$469,700,000",46.8%
2,Indiana Jones and the Kingdom of the Crystal Skull,"$790,653,942","$317,101,119",40.1%,"$473,552,823",59.9%
3,Kung Fu Panda,"$631,744,560","$215,434,591",34.1%,"$416,309,969",65.9%
4,Hancock,"$629,443,428","$227,946,274",36.2%,"$401,497,154",63.8%
5,Mamma Mia!,"$609,841,637","$144,130,063",23.6%,"$465,711,574",76.4%
6,Madagascar: Escape 2 Africa,"$603,900,354","$180,010,950",29.8%,"$423,889,404",70.2%
7,Quantum of Solace,"$589,580,482","$168,368,427",28.6%,"$421,212,055",71.4%
8,Iron Man,"$585,366,247","$318,604,126",54.4%,"$266,762,121",45.6%
9,WALL·E,"$521,311,860","$223,808,164",42.9%,"$297,503,696",57.1%
10,The Chronicles of Narnia: Prince Caspian,"$419,665,568","$141,621,490",33.7%,"$278,044,078",66.3%
11,Sex and the City,"$418,765,321","$152,647,258",36.5%,"$266,118,063",63.5%
12,Twilight,"$407,187,715","$192,769,854",47.3%,"$214,417,861",52.7%
13,The Mummy: Tomb of the Dragon Emperor,"$403,449,830","$102,491,776",25.4%,"$300,958,054",74.6%
14,Slumdog Millionaire,"$378,410,113","$141,319,928",37.3%,"$237,090,185",62.7%
15,Wanted,"$342,463,063","$134,508,551",39.3%,"$207,954,512",60.7%
16,The Curious Case of Benjamin Button,"$335,802,786","$127,509,326",38%,"$208,293,460",62%
17,Bolt,"$309,979,994","$114,053,579",36.8%,"$195,926,415",63.2%
18,Horton Hears a Who!,"$298,572,799","$154,529,439",51.8%,"$144,043,360",48.2%
19,Gran Torino,"$269,958,228","$148,095,302",54.9%,"$121,862,926",45.1%
20,"10,000 BC","$269,784,201","$94,784,201",35.1%,"$175,000,000",64.9%
21,The Incredible Hulk,"$264,770,996","$134,806,913",50.9%,"$129,964,083",49.1%
22,Marley & Me,"$255,743,093","$143,153,751",56%,"$112,589,342",44%
23,High School Musical 3,"$252,909,177","$90,559,416",35.8%,"$162,349,761",64.2%
24,Welcome to the Sticks,"$245,144,417",-,-,"$245,144,417",100%
25,Journey to the Center of the Earth,"$244,232,688","$101,704,370",41.6%,"$142,528,318",58.4%
26,The Day the Earth Stood Still,"$233,093,859","$79,366,978",34%,"$153,726,881",66%
27,Get Smart,"$230,685,453","$130,319,208",56.5%,"$100,366,245",43.5%
28,Taken,"$226,837,760","$145,000,989",63.9%,"$81,836,771",36.1%
29,Jumper,"$225,132,113","$80,172,128",35.6%,"$144,959,985",64.4%
30,Yes Man,"$223,241,637","$97,690,976",43.8%,"$125,550,661",56.2%
31,What Happens in Vegas,"$219,375,562","$80,277,646",36.6%,"$139,097,916",63.4%
32,Bedtime Stories,"$212,874,864","$110,101,975",51.7%,"$102,772,889",48.3%
33,Australia,"$211,787,511","$49,554,002",23.4%,"$162,233,509",76.6%
34,You Don't Mess with the Zohan,"$204,313,400","$100,018,837",49%,"$104,294,563",51%
35,Ponyo,"$202,551,810","$15,090,399",7.5%,"$187,461,411",92.5%
36,Valkyrie,"$201,545,517","$83,077,833",41.2%,"$118,467,684",58.8%
37,Tropic Thunder,"$195,702,811","$110,515,313",56.5%,"$85,187,498",43.5%
38,Eagle Eye,"$178,767,383","$101,440,743",56.7%,"$77,326,640",43.3%
39,Cloverfield,"$172,394,180","$80,048,433",46.4%,"$92,345,747",53.6%
40,Seven Pounds,"$169,748,929","$69,951,824",41.2%,"$99,797,105",58.8%
41,Hellboy II: The Golden Army,"$168,319,243","$75,986,503",45.1%,"$92,332,740",54.9%
42,The Spiderwick Chronicles,"$164,170,327","$71,195,053",43.4%,"$92,975,274",56.6%
43,Four Christmases,"$164,112,721","$120,146,040",73.2%,"$43,966,681",26.8%
44,Burn After Reading,"$163,728,902","$60,355,347",36.9%,"$103,373,555",63.1%
45,The Happening,"$163,403,799","$64,506,874",39.5%,"$98,896,925",60.5%
46,27 Dresses,"$162,655,351","$76,808,654",47.2%,"$85,846,697",52.8%
47,21,"$159,808,370","$81,159,365",50.8%,"$78,649,005",49.2%
48,Vantage Point,"$152,039,882","$72,266,306",47.5%,"$79,773,576",52.5%
49,Step Up 2: The Streets,"$150,816,700","$58,017,783",38.5%,"$92,798,917",61.5%
50,Beverly Hills Chihuahua,"$149,292,488","$94,514,402",63.3%,"$54,778,086",36.7%
51,Red Cliff,"$129,708,433","$627,047",0.5%,"$129,081,386",99.5%
52,The Forbidden Kingdom,"$128,779,982","$52,075,270",40.4%,"$76,704,712",59.6%
53,Step Brothers,"$128,107,642","$100,468,793",78.4%,"$27,638,849",21.6%
54,Body of Lies,"$115,900,897","$39,394,666",34%,"$76,506,231",66%
55,Saw V,"$113,864,059","$56,746,769",49.8%,"$57,117,290",50.2%
56,Changeling,"$113,398,237","$35,739,802",31.5%,"$77,658,435",68.5%
57,Rambo,"$113,244,290","$42,754,105",37.8%,"$70,490,185",62.2%
58,Fool's Gold,"$111,231,041","$70,231,041",63.1%,"$41,000,000",36.9%
59,Transporter 3,"$108,979,549","$31,715,062",29.1%,"$77,264,487",70.9%
60,The Reader,"$108,902,486","$34,194,407",31.4%,"$74,708,079",68.6%
61,Made of Honor,"$106,407,672","$46,012,734",43.2%,"$60,394,938",56.8%
62,Forgetting Sarah Marshall,"$105,833,257","$63,172,463",59.7%,"$42,660,794",40.3%
63,Pineapple Express,"$101,624,843","$87,341,380",85.9%,"$14,283,463",14.1%
64,Nim's Island,"$100,104,565","$48,006,762",48%,"$52,097,803",52%
65,Vicky Cristina Barcelona,"$96,409,300","$23,216,709",24.1%,"$73,192,591",75.9%
66,Speed Racer,"$93,945,766","$43,945,766",46.8%,"$50,000,000",53.2%
67,Role Models,"$92,649,419","$67,294,270",72.6%,"$25,355,149",27.4%
68,Max Payne,"$87,066,930","$40,689,393",46.7%,"$46,377,537",53.3%
69,The Tale of Despereaux,"$86,957,280","$50,877,145",58.5%,"$36,080,135",41.5%
70,Meet the Spartans,"$85,897,593","$38,233,676",44.5%,"$47,663,917",55.5%
71,Nights in Rodanthe,"$84,375,346","$41,850,659",49.6%,"$42,524,687",50.4%
72,The Strangers,"$82,410,456","$52,597,610",63.8%,"$29,812,846",36.2%
73,Righteous Kill,"$78,460,699","$40,081,410",51.1%,"$38,379,289",48.9%
74,The Other Boleyn Girl,"$78,199,679","$26,814,957",34.3%,"$51,384,722",65.7%
75,Mirrors,"$78,094,714","$30,691,439",39.3%,"$47,403,275",60.7%
76,Death Race,"$76,014,335","$36,316,032",47.8%,"$39,698,303",52.2%
77,Revolutionary Road,"$75,981,180","$22,911,480",30.2%,"$53,069,700",69.8%
78,Babylon A.D.,"$72,109,200","$22,532,572",31.2%,"$49,576,628",68.8%
79,Superhero Movie,"$71,571,300","$25,881,068",36.2%,"$45,690,232",63.8%
80,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"$70,642,966","$65,281,781",92.4%,"$5,361,185",7.6%
81,Departures,"$70,442,129","$1,498,210",2.1%,"$68,943,919",97.9%
82,The House Bunny,"$70,439,696","$48,237,389",68.5%,"$22,202,307",31.5%
83,The X Files: I Want to Believe,"$69,363,381","$20,982,478",30.3%,"$48,380,903",69.7%
84,Star Wars: The Clone Wars,"$68,282,844","$35,161,554",51.5%,"$33,121,290",48.5%
85,Street Kings,"$66,476,363","$26,418,667",39.7%,"$40,057,696",60.3%
86,Space Chimps,"$65,097,693","$30,105,968",46.2%,"$34,991,725",53.8%
87,The Bank Job,"$64,822,796","$30,060,660",46.4%,"$34,762,136",53.6%
88,Baby Mama,"$64,444,713","$60,494,212",93.9%,"$3,950,501",6.1%
89,Inkheart,"$62,803,180","$17,303,424",27.6%,"$45,499,756",72.4%
90,The Eye,"$58,010,320","$31,418,697",54.2%,"$26,591,623",45.8%
91,Prom Night,"$57,197,876","$43,869,350",76.7%,"$13,328,526",23.3%
92,"Definitely, Maybe","$55,990,299","$32,241,649",57.6%,"$23,748,650",42.4%
93,Milk,"$54,589,558","$31,841,299",58.3%,"$22,748,259",41.7%
94,Untraceable,"$52,933,513","$28,687,835",54.2%,"$24,245,678",45.8%
95,Doubt,"$51,699,984","$33,446,470",64.7%,"$18,253,514",35.3%
96,College Road Trip,"$51,549,674","$45,610,425",88.5%,"$5,939,249",11.5%
97,Meet Dave,"$51,339,567","$11,803,254",23%,"$39,536,313",77%
98,Defiance,"$51,262,751","$28,644,813",55.9%,"$22,617,938",44.1%
99,The Women,"$50,007,546","$26,902,075",53.8%,"$23,105,471",46.2%
100,Drillbit Taylor,"$49,944,325","$32,862,104",65.8%,"$17,082,221",34.2%
101,CJ7,"$49,529,913","$207,378",0.4%,"$49,322,535",99.6%
102,The Hurt Locker,"$49,230,772","$17,017,811",34.6%,"$32,212,961",65.4%
103,Shutter,"$48,555,306","$25,928,550",53.4%,"$22,626,756",46.6%
104,One Missed Call,"$45,847,751","$26,890,041",58.7%,"$18,957,710",41.3%
105,The Wrestler,"$44,734,660","$26,238,243",58.7%,"$18,496,417",41.3%
106,Lakeview Terrace,"$44,655,002","$39,263,506",87.9%,"$5,391,496",12.1%
107,The Sisterhood of the Traveling Pants 2,"$44,352,417","$44,089,964",99.4%,"$262,453",0.6%
108,The Good the Bad the Weird,"$44,261,209","$128,486",0.3%,"$44,132,723",99.7%
109,Semi-Pro,"$44,004,502","$33,479,698",76.1%,"$10,524,804",23.9%
110,"Welcome Home, Roscoe Jenkins","$43,655,418","$42,436,517",97.2%,"$1,218,901",2.8%
111,Harold & Kumar Escape from Guantanamo Bay,"$43,495,888","$38,108,728",87.6%,"$5,387,160",12.4%
112,The Duchess,"$43,343,384","$13,848,978",32%,"$29,494,406",68%
113,Zack and Miri Make a Porno,"$42,782,463","$31,457,946",73.5%,"$11,324,517",26.5%
114,Bangkok Dangerous,"$42,487,390","$15,298,133",36%,"$27,189,257",64%
115,Meet the Browns,"$41,975,388","$41,975,388",100%,-,-
116,Fly Me to the Moon 3D,"$41,721,414","$13,816,982",33.1%,"$27,904,432",66.9%
117,Never Back Down,"$41,627,431","$24,850,922",59.7%,"$16,776,509",40.3%
118,My Best Friend's Girl,"$41,624,687","$19,219,250",46.2%,"$22,405,437",53.8%
119,Quarantine,"$41,319,906","$31,691,811",76.7%,"$9,628,095",23.3%
120,Leatherheads,"$41,319,039","$31,373,938",75.9%,"$9,945,101",24.1%
121,The Love Guru,"$40,877,556","$32,235,793",78.9%,"$8,641,763",21.1%
122,The Boy in the Striped Pajamas,"$40,416,563","$9,046,156",22.4%,"$31,370,407",77.6%
123,The Secret Life of Bees,"$39,952,437","$37,770,162",94.5%,"$2,182,275",5.5%
124,The Spirit,"$39,164,441","$19,806,188",50.6%,"$19,358,253",49.4%
125,First Sunday,"$38,810,311","$37,931,869",97.7%,"$878,442",2.3%
126,Ghajini,"$38,316,584","$2,430,627",6.3%,"$35,885,957",93.7%
127,The Family That Preys,"$37,105,289","$37,105,289",100%,-,-
128,Gomorrah,"$34,861,529","$1,579,146",4.5%,"$33,282,383",95.5%
129,Disaster Movie,"$34,816,824","$14,190,901",40.8%,"$20,625,923",59.2%
130,In Bruges,"$34,085,749","$7,800,824",22.9%,"$26,284,925",77.1%
131,Nick and Norah's Infinite Playlist,"$33,556,631","$31,487,293",93.8%,"$2,069,338",6.2%
132,Fireproof,"$33,473,297","$33,456,317",99.9%,"$16,980",<0.1%
133,Last Chance Harvey,"$32,566,966","$14,889,042",45.7%,"$17,677,924",54.3%
134,Pride and Glory,"$31,200,557","$15,740,721",50.5%,"$15,459,836",49.5%
135,Igor,"$30,893,885","$19,528,602",63.2%,"$11,365,283",36.8%
136,Be Kind Rewind,"$30,579,406","$11,175,164",36.5%,"$19,404,242",63.5%
137,Rab Ne Bana Di Jodi,"$29,914,469","$2,078,956",6.9%,"$27,835,513",93.1%
138,W.,"$29,560,587","$25,534,493",86.4%,"$4,026,094",13.6%
139,The Class,"$29,303,505","$3,766,810",12.9%,"$25,536,695",87.1%
140,Singh Is King,"$29,169,677","$2,159,376",7.4%,"$27,010,301",92.6%
141,Appaloosa,"$27,712,362","$20,211,394",72.9%,"$7,500,968",27.1%
142,Traitor,"$27,674,464","$23,530,831",85%,"$4,143,633",15%
143,Frost/Nixon,"$27,426,335","$18,622,031",67.9%,"$8,804,304",32.1%
144,Ghost Town,"$27,090,159","$13,367,624",49.3%,"$13,722,535",50.7%
145,The Baader Meinhof Complex,"$26,937,355","$476,270",1.8%,"$26,461,085",98.2%
146,Jodhaa Akbar,"$26,890,354","$3,440,718",12.8%,"$23,449,636",87.2%
147,Mad Money,"$26,412,163","$20,668,843",78.3%,"$5,743,320",21.7%
148,RocknRolla,"$25,740,863","$5,700,626",22.1%,"$20,040,237",77.9%
149,Race,"$24,503,269","$1,367,024",5.6%,"$23,136,245",94.4%
150,Paris,"$23,328,518","$1,010,194",4.3%,"$22,318,324",95.7%
151,Under the Same Moon,"$23,313,049","$12,590,147",54%,"$10,722,902",46%
152,The Ruins,"$22,818,256","$17,432,844",76.4%,"$5,385,412",23.6%
153,U2 3D,"$22,730,842","$10,363,341",45.6%,"$12,367,501",54.4%
154,The Accidental Husband,"$22,707,064",-,-,"$22,707,064",100%
155,Doomsday,"$22,472,631","$11,008,770",49%,"$11,463,861",51%
156,I've Loved You So Long,"$22,272,176","$3,169,305",14.2%,"$19,102,871",85.8%
157,Over Her Dead Body,"$21,458,111","$7,563,670",35.2%,"$13,894,441",64.8%
158,Jaane Tu... Ya Jaane Na,"$19,852,786","$604,037",3%,"$19,248,749",97%
159,Blindness,"$19,844,979","$3,351,751",16.9%,"$16,493,228",83.1%
160,How to Lose Friends & Alienate People,"$19,152,009","$2,778,752",14.5%,"$16,373,257",85.5%
161,Sex Drive,"$18,755,936","$8,402,485",44.8%,"$10,353,451",55.2%
